article_id,article_title,article_date,sentence,category,voice,annotator
1539,Surgeon who left Gaza urges UK government to do more,2023-11-05," Since  then,  the  Hamas-run  health  ministry  in  Gaza  says  more  than  9,700  people  have  been  killed  in  the  Strip  amid  the  Israeli  bombardment. ",palestine,PASSIVE,jan
329,Four arrests during vigil after Hamas attacks,2023-10-12," The  militant  group  launched  an  unprecedented  assault  on  Saturday,  killing  hundreds  of  people  and  taking  dozens  of  hostages. ",israel,ACTIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08," The  surprise  attack  by  hundreds  of  gunmen  from  Hamas,  under  the  cover  of  intense  rocket  fire,  has  reportedly  killed  at  least  600  people  in  Israel. ",israel,ACTIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08, More  than  370  people  in  Gaza  have  been  killed  in  retaliatory  Israeli  strikes. ,palestine,PASSIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08," And  400  Palestinian  gunmen  have  been  killed  and  dozens  arrested  during  the  fighting  in  Israel,  according  to  the  Israeli  military. ",palestine,PASSIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08," ""They  executed  Israeli  civilians  in  cold  blood  in  their  homes  and  then  continued  to  drag  into  Gaza  Israeli  civilians  and  military  personnel.  "" ",israel,ACTIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08," Israel's  health  ministry  has  not  officially  confirmed  how  many  people  have  been  killed,  but  Israeli  TV  channels  reported  that  the  death  toll  had  passed  600  and  the  same  figure  was  included  in  a  Facebook  post  from  the  Government  Press  Office.  ",israel,PASSIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08,  At  least  10  militants  who  had  taken  over  the  police  station  in  the  town  of  Sderot  were  killed.  ,palestine,PASSIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08,"  Near  the  city  of  Ashkelon,  Israeli  forces  chased  several  Palestinian  gunmen  in  a  stolen  car,  killing  them  in  a  dramatic  shootout  on  a  main  road. ",palestine,ACTIVE,jan
737,Israeli forces fight to drive out Hamas militants,2023-10-08,"  Palestinian  health  ministry  officials  said  more  than  300  people,  including  children,  had  been  killed  in  Gaza  and  that  another  1,990  had  been  injured.  ",palestine,PASSIVE,jan
1518,Netanyahu hints at control of Gaza after war,2023-11-07,"  Hundreds  of  Hamas  gunmen  burst  through  the  border  and  attacked  Israeli  communities  and  a  music  festival  on  7  October,  killing  more  than  1,400  people,  Israeli  authorities  say,  in  the  bloodiest  such  event  in  Israel's  history.  ",israel,ACTIVE,jan
1518,Netanyahu hints at control of Gaza after war,2023-11-07," The  Hamas-run  health  ministry  in  Gaza  says  more  more  than  10,000  people  have  been  killed  since  Israel  began  its  operation. ",palestine,PASSIVE,jan
156,Bodies line corridors as hospital warns it's at breaking point,2023-10-12,"  Her  home  was  unexpectedly  shelled  by  Israeli  forces,  and  a  number  of  her  relatives  were  killed.  ",palestine,PASSIVE,jan
156,Bodies line corridors as hospital warns it's at breaking point,2023-10-12," One  woman  sits  next  to  the  bodies  of  some  of  her  relatives,  who  also  died  in  a  fierce  Israeli  bombardment  which  targeted  a  densely  populated  neighbourhood  of  Gaza. ",palestine,ACTIVE,jan
156,Bodies line corridors as hospital warns it's at breaking point,2023-10-12,"  As  we  report  from  the  hospital,  we  discover  that  dozens  of  our  own  neighbours,  relatives  and  friends  are  among  those  injured  and  killed.  ",palestine,,jan
156,Bodies line corridors as hospital warns it's at breaking point,2023-10-12," Cameraman  Mahmoud  al-Ajrami  is  overwhelmed  and  tears  run  down  his  face  when  he  discovers  a  friend  has  been  brought  to  the  hospital  after  surviving  serious  injuries,  and  that  most  of  the  man's  relatives  have  been  killed.  ",palestine,PASSIVE,jan
874,Missing Irish-Israeli woman's relatives 'only have hope',2023-10-10," ,  external""They  just  shot  everywhere,  slaughtered  them  like  dogs,""  she  said. ",israel,ACTIVE,jan
874,Missing Irish-Israeli woman's relatives 'only have hope',2023-10-10," On  Saturday,  the  Palestinian  militant  group  Hamas  launched  an  unprecedented  attack  on  Israel,  with  its  fighters  entering  communities  near  the  Gaza  Strip,  killing  hundreds  of  residents  and  taking  dozens  of  hostages. ",israel,ACTIVE,jan
874,Missing Irish-Israeli woman's relatives 'only have hope',2023-10-10," What  is  happening  in  Israel?About  900  people  have  died  in  Israel  since  Saturday's  attacks,  including  260  at  the  festival. ",israel,ACTIVE,jan
874,Missing Irish-Israeli woman's relatives 'only have hope',2023-10-10," Almost  690  people  have  been  killed  by  air  strikes  in  Gaza,  Palestinian  authorities  have  said,  and  the  Israeli  military  said  it  has  found  the  bodies  of  1,500  militants. ",palestine,PASSIVE,jan
14,'I don’t want to die at 24' - trapped Gaza woman,2023-11-01, 'I  don’t  want  to  die  at  24'  -  trapped  Gaza  woman  T-I-T-L-E-E-N-D.  ,palestine,,jan
1603,Israel finds second hostage body near hospital,2023-11-17, The  IDF  did  not  give  further  details  on  how  Cpl  Marciano  died. ,israel,ACTIVE,jan
1603,Israel finds second hostage body near hospital,2023-11-17," Hamas's  military  wing  claimed  she  was  killed  in  an  Israeli  air  strike  on  9  November,  though  this  could  not  be  independently  verified. ",israel,PASSIVE,jan
1603,Israel finds second hostage body near hospital,2023-11-17," Israeli  officials  say  that  at  least  1,200  people  were  killed  in  Hamas's  cross-border  attack. ",israel,PASSIVE,jan
1603,Israel finds second hostage body near hospital,2023-11-17," Since  Israel  started  its  counter-attack,  Gaza's  Hamas-run  health  ministry  has  said  11,400  people  have  been  killed  in  the  territory. ",palestine,PASSIVE,jan
1528,Poppy seller attack claim lacks evidence - police,2023-11-08," The  retaliatory  strikes  came  after  Hamas  gunmen  killed  more  than  1,400  people  in  Israel  on  7  October. ",israel,ACTIVE,jan
1528,Poppy seller attack claim lacks evidence - police,2023-11-08," Since  then  the  Hamas-run  health  ministry  in  Gaza  says  more  than  10,000  people  have  been  killed  there. ",palestine,PASSIVE,jan
489,Iran warns Israel to stop or region will 'go out of control',2023-10-22," Iran  supports  both  Hamas,  which  attacked  Israel  two  weeks  ago  killing  1,400  people,  and  Lebanon's  Hezbollah. ",israel,ACTIVE,jan
489,Iran warns Israel to stop or region will 'go out of control',2023-10-22," More  than  4,600  Palestinians  have  been  killed  in  the  last  two  weeks  in  Gaza,  according  to  the  Hamas-run  health  ministry,  and  Israel  announced  on  Saturday  that  it  was  intensifying  air  strikes. ",palestine,PASSIVE,jan
489,Iran warns Israel to stop or region will 'go out of control',2023-10-22, At  least  27  people  have  been  reported  killed  in  southern  Lebanon  during  exchanges  of  fire  between  Israel  and  Hamas. ,both,,jan
489,Iran warns Israel to stop or region will 'go out of control',2023-10-22," At  least  five  Israeli  soldiers  and  one  civilian  have  been  killed  in  Israel,  according  to  Israeli  military  reports. ",israel,PASSIVE,jan
1843,Yousaf urges Sunak to recognise Palestinian state,2023-11-21," Israel  began  attacking  Gaza  after  Hamas  fighters  crossed  the  border  on  7  October,  killing  1,200  people  and  taking  more  than  200  others  hostage. ",israel,ACTIVE,jan
1843,Yousaf urges Sunak to recognise Palestinian state,2023-11-21," Gaza's  Hamas-run  health  ministry  has  said  13,300  people,  including  more  than  5,000  children,  have  been  killed  in  Israel's  campaign. ",palestine,PASSIVE,jan
691,Israel-Gaza inflames tensions on US college campuses,2023-10-16," One  of  the  leaders  of  the  pro-Palestinian  demonstration  read  aloud  an  open  letter  published  by  two  student  groups  at  Columbia  just  a  day  after  Hamas  militants  rampaged  through  a  music  festival  and  several  Israeli  towns,  killing  at  least  1,400  people  and  taking  about  150  hostages. ",israel,ACTIVE,jan
691,Israel-Gaza inflames tensions on US college campuses,2023-10-16," More  than  2,700  Palestinians  in  Gaza  have  died  during  retaliatory  Israeli  air  strikes,  while  just  over  two  million  people  there  are  trapped  by  a  blockade  and  cut  off  from  power  and  clean  water. ",palestine,ACTIVE,jan
1565,BBC goes inside Al-Shifa hospital with the Israeli army,2023-11-16,"  Doctors  at  the  hospital  say  they  have  been  working  without  power,  food  or  water  for  days  now  -  and  that  critically  ill  patients  have  died  as  a  result,  including  newborn  babies. ",palestine,ACTIVE,jan
1702,Four-year-old girl among released Israeli hostages,2023-11-26," Avigail  Idan  was  just  three  at  the  time  she  was  taken  hostage  from  her  home,  where  her  parents  were  attacked  and  killed  by  Hamas  gunmen. ",israel,,jan
1702,Four-year-old girl among released Israeli hostages,2023-11-26," Her  parents  were  killed  during  the  attack,  while  her  two  siblings  hid  and  were  later  rescued. ",israel,PASSIVE,jan
1702,Four-year-old girl among released Israeli hostages,2023-11-26, Her  mother's  cousin  told  Sky  News  that  Avigail's  father  had  been  holding  her  when  he  was  shot. ,israel,PASSIVE,jan
1702,Four-year-old girl among released Israeli hostages,2023-11-26," Chen's  husband,  Nadav,  and  their  20-year-old  daughter,  Yam,  were  killed  by  Hamas. ",israel,PASSIVE,jan
1702,Four-year-old girl among released Israeli hostages,2023-11-26," Hamas'  attack  on  7  October  killed  1,200  people,  and  about  240  were  taken  hostage. ",israel,ACTIVE,jan
1702,Four-year-old girl among released Israeli hostages,2023-11-26," Since  then,  Gaza's  Hamas-run  health  ministry  says  more  than  14,500  people  have  been  killed  in  Israel's  retaliatory  campaign  in  the  territory. ",palestine,PASSIVE,jan
229,Deadly confrontation on Israel-Lebanon frontier,2023-10-11," Three  Israeli  soldiers  were  killed  in  a  confrontation  with  militants  on  the  frontier  with  Lebanon  on  Monday,  Israel's  military  has  confirmed. ",israel,PASSIVE,jan
229,Deadly confrontation on Israel-Lebanon frontier,2023-10-11," The  military  said  troops  and  aircraft  killed  two  ""terrorist  infiltrators""  who  had  crossed  into  Israeli  territory. ",palestine,ACTIVE,jan
229,Deadly confrontation on Israel-Lebanon frontier,2023-10-11,  The  military  initially  said  that  one  senior  officer  was  killed  in  the  confrontation. ,palestine,PASSIVE,jan
229,Deadly confrontation on Israel-Lebanon frontier,2023-10-11," Palestinian  Islamic  Jihad  said  the  infiltration  was  part  of  ""Operation  Al-Aqsa  Flood""  -  the  name  given  by  the  militant  group  Hamas  for  the  unprecedented  assault  from  Gaza  on  southern  Israeli  communities  that  began  on  Saturday,  in  which  at  least  900  Israelis  are  reported  to  have  been  killed. ",israel,PASSIVE,jan
1432,Yousaf's wife fears for 'terrified' family in Gaza,2023-10-12," Days  into  their  trip  Hamas  killed  1,200  people,  Israeli  officials  say. ",israel,ACTIVE,jan
1432,Yousaf's wife fears for 'terrified' family in Gaza,2023-10-12," Palestinian  health  officials  say  1,200  people  have  died  in  Israeli  airstrikes  in  Gaza  as  the  death  toll  continues  to  rise  in  the  conflict. ",palestine,ACTIVE,jan
1432,Yousaf's wife fears for 'terrified' family in Gaza,2023-10-12," On  Wednesday  an  official  UK  source  told  the  BBC  17  British  nationals,  including  children,  are  dead  or  missing  in  Israel.  ",israel,ACTIVE,jan
1527,Police warn of attack risk as hotline calls surge,2023-11-08," On  7  October,  Hamas  launched  a  surprise  attack  on  Israel,  killing  1,400  people  and  taking  more  than  200  people  hostage. ",israel,ACTIVE,jan
1527,Police warn of attack risk as hotline calls surge,2023-11-08," Since  then,  Israel  has  been  bombing  Gaza,  with  more  than  10,000  people  killed,  according  to  the  Hamas-run  health  ministry. ",palestine,ACTIVE,jan
1386,What is Hezbollah and will it go to war with Israel?,2023-11-03," Israeli  soldiers  and  Hezbollah  fighters  have  been  killed,  and  Israel  has  evacuated  thousands  of  civilians  from  the  area. ",israel,PASSIVE,jan
399,"Hamas attack shocks Israel, but what comes next?",2023-10-07," They  have  held  Israeli  towns  and  army  posts  under  siege  for  hours,  killed  many  people  and  taken  away  an  unknown  number  of  Israeli  civilians  and  soldiers  to  hold  as  hostages  in  Gaza. ",israel,ACTIVE,jan
399,"Hamas attack shocks Israel, but what comes next?",2023-10-07, From  two  sides  and  I  saw  people  were  dying  all  around. ,israel,,jan
399,"Hamas attack shocks Israel, but what comes next?",2023-10-07," Meanwhile,  footage  shared  on  Hamas  channels  showed  that  soldiers  in  Israeli  army  posts  and  in  a  tank  had  been  captured  or  killed. ",israel,,jan
1586,"For many hostage families, the painful wait drags on",2023-11-26, They  know  that  Alon  was  not  found  among  the  dead. ,israel,,jan
1586,"For many hostage families, the painful wait drags on",2023-11-26," ""  Along  with  some  other  hostage  families,  Naama's  family  is  facing  a  daunting  scenario:  both  of  Itai's  parents  were  killed  in  the  attack  but  it  isn't  clear  whether  he  knows.  """,israel,PASSIVE,jan
1586,"For many hostage families, the painful wait drags on",2023-11-26,Did  he  see  her  being  murdered  before  he  was  taken? ,israel,PASSIVE,jan
1586,"For many hostage families, the painful wait drags on",2023-11-26, Or  was  he  taken  before  she  was  murdered?  ,israel,PASSIVE,jan
1586,"For many hostage families, the painful wait drags on",2023-11-26," The  family  knew  they  would  have  to  break  it  to  Itai  that  his  father,  who  was  killed  in  a  separate  building,  was  gone. ",israel,PASSIVE,jan
1265,Two Tanzanians confirmed as Hamas hostages,2023-10-26," They  were  taken  when  militants  from  Hamas  -  which  Israel,  the  UK,  US  and  other  powers  class  as  a  terrorist  organisation  -  crossed  into  Israel  from  Gaza  killing  at  least  1,400  people. ",israel,ACTIVE,jan
1265,Two Tanzanians confirmed as Hamas hostages,2023-10-26," Israel  has  since  retaliated  with  air  strikes  on  Gaza,  which  the  Hamas-run  health  ministry  says  have  killed  almost  6,500  people. ",palestine,ACTIVE,jan
1200,Thousands rally in Belfast to support Palestinians,2023-10-28," Hamas  launched  a  surprise  assault  on  Israel  on  7  October,  killing  more  than  1,400  people  and  taking  more  than  220  hostages. ",israel,ACTIVE,jan
1200,Thousands rally in Belfast to support Palestinians,2023-10-28," The  Hamas-run  health  ministry  in  Gaza  says  the  Israeli  bombardments  have  killed  more  than  7,600  people. ",palestine,ACTIVE,jan
1200,Thousands rally in Belfast to support Palestinians,2023-10-28, Dr  Madhi  told  BBC  News  NI  that  13  members  of  his  extended  family  had  died  in  Gaza  in  recent  weeks. ,palestine,ACTIVE,jan
1652,Tens of thousands march in London for Gaza ceasefire,2023-11-25," The  Hamas-run  health  ministry  says  more  than  14,500  people  have  been  killed  in  Gaza  -  and  more  than  a  third  of  them  children  -  since  Israel  began  its  retaliatory  operation  in  response  to  Hamas's  7  October  attacks. ",palestine,PASSIVE,jan
1652,Tens of thousands march in London for Gaza ceasefire,2023-11-25," Hamas  killed  1,200  people  and  took  more  than  240  hostages  during  its  unprecedented  cross-border  incursion. ",israel,ACTIVE,jan
1652,Tens of thousands march in London for Gaza ceasefire,2023-11-25," So  far,  the  temporary  truce  is  still  holding  and  follows  weeks  of  fighting  and  Israeli  bombardments  of  Gaza,  with  the  conflict  sparked  by  Hamas's  unprecedented  cross-border  attack  in  southern  Israel  that  saw  1,200  people  killed. ",israel,ACTIVE,jan
1483,"Gaza journalist killed alongside 42 relatives, news agency says",2023-11-07," Gaza  journalist  killed  alongside  42  relatives,  news  agency  says  T-I-T-L-E-E-N-D.  ",palestine,ACTIVE,jan
1483,"Gaza journalist killed alongside 42 relatives, news agency says",2023-11-07," A  Palestinian  reporter  has  been  killed  alongside  42  family  members,  his  news  agency  says,  as  a  watchdog  said  the  past  month  had  been  the  most  deadly  for  journalists  since  its  records  began. ",palestine,PASSIVE,jan
1483,"Gaza journalist killed alongside 42 relatives, news agency says",2023-11-07, The  Wafa  news  agency  said  Mohammad  Abu  Hasira  was  killed  in  an  Israeli  air  strike  on  Gaza  City. ,palestine,PASSIVE,jan
1483,"Gaza journalist killed alongside 42 relatives, news agency says",2023-11-07," At  least  37  journalists  had  been  killed  since  the  war  began,  the  Committee  to  Protect  Journalists  (CPJ)  said. ",both,PASSIVE,jan
