article_id,article_title,article_date,sentence,category,voice,annotator
2664,UN Security Council passes Gaza ceasefire resolution,2024-03-25," However,  it  has  become  increasingly  critical  of  Israel  over  the  escalating  death  toll  in  Gaza,  where  more  than  32,000  people  -  mainly  women  and  children  -  have  been  killed  by  Israel's  bombardment,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE,
2664,UN Security Council passes Gaza ceasefire resolution,2024-03-25," The  current  war  broke  out  after  Hamas  gunmen  burst  through  the  border  and  attacked  Israeli  communities,  killing  about  1,200  people,  according  to  Israeli  tallies,  and  taking  253  into  Gaza  as  hostages. ",israel,ACTIVE,
8387,Israeli troops kill man who attempted 'car ramming attack',2023-12-20, Israeli  troops  kill  man  who  attempted  'car  ramming  attack'  T-I-T-L-E-E-N-D.  ,palestine,ACTIVE,
8387,Israeli troops kill man who attempted 'car ramming attack',2023-12-20," Israeli  military  says  it  has  shot  dead  a  Palestinian  driver  who  tried  to  carry  out  a  ""car  ramming  attack""  in  the  occupied  West  Bank. ",palestine,ACTIVE,
8387,Israeli troops kill man who attempted 'car ramming attack',2023-12-20," Palestinian  news  agency  Wafa  reported  the  man,  identified  as  28-year-old  Basil  Wajiya  Abd  al-Afo  al-Muhtaseb,  was  killed  as  he  drove  through  a  junction  north  of  the  city  of  Hebron. ",palestine,PASSIVE,
10822,Israeli strikes pound south and central Gaza - Palestinian media.,2023-12-11," The  official  Wafa  news  agency  said  six  people,  most  of  them  children,  were  killed  when  a  flat  belonging  to  the  Subh  family  in  the  Tal  al-Sultan  area  of  the  southern  city  of  Rafah  was  bombed  on  Monday  morning. ",palestine,PASSIVE,
10822,Israeli strikes pound south and central Gaza - Palestinian media.,2023-12-11," The  Hamas-affiliated  Safa  news  agency  posted  the  names  of  10  people  who  it  said  died,  adding  that  they  included  displaced  people  who  had  fled  the  nearby  city  of  Khan  Younis. ",palestine,,
10822,Israeli strikes pound south and central Gaza - Palestinian media.,2023-12-11," Wafa  said  that  another  five  people,  including  three  children,  were  killed  in  a  strike  on  a  home  in  the  Nuseirat  refugee  camp,  and  that  a  woman  and  a  child  were  killed  when  the  Mishari  family’s  home  in  the  neighbouring  town  of  Deir  al-Balah  was  hit. ",palestine,PASSIVE,
10822,Israeli strikes pound south and central Gaza - Palestinian media.,2023-12-11," Dozens  of  people  were  also  reportedly  killed  or  wounded  after  a  strike  in  the  Sheikh  Radwan  area  of  Gaza  City,  in  the  north,  according  to  Wafa  and  Safa. ",palestine,PASSIVE,
10822,Israeli strikes pound south and central Gaza - Palestinian media.,2023-12-11," On  Monday  afternoon,  they  reported  that  15  people  were  killed  in  a  strike  on  a  home  in  Maghazi  refugee  camp,  in  central  Gaza. ",palestine,PASSIVE,
